gKernelWidth 1 , gKernelHeight 1,73.92314582378117
gKernelWidth 1 , gKernelHeight 3,74.2928488933497
gKernelWidth 1 , gKernelHeight 5,74.47514647087262
gKernelWidth 1 , gKernelHeight 7,74.68072016476603
gKernelWidth 1 , gKernelHeight 9,74.78840612242819
gKernelWidth 3 , gKernelHeight 1,74.33130426546917
gKernelWidth 3 , gKernelHeight 3,74.6262566857586
gKernelWidth 3 , gKernelHeight 5,74.76447536625774
gKernelWidth 3 , gKernelHeight 7,74.8975022570218
gKernelWidth 3 , gKernelHeight 9,75.00573686931033
gKernelWidth 5 , gKernelHeight 1,74.48437981501121
gKernelWidth 5 , gKernelHeight 3,74.75641704386423
gKernelWidth 5 , gKernelHeight 5,74.8763725834999
gKernelWidth 5 , gKernelHeight 7,75.0134258497115
gKernelWidth 5 , gKernelHeight 9,75.08435536429248
gKernelWidth 7 , gKernelHeight 1,74.68500072586302
gKernelWidth 7 , gKernelHeight 3,74.89167153162269
gKernelWidth 7 , gKernelHeight 5,75.01308834891496
gKernelWidth 7 , gKernelHeight 7,75.10864796369741
gKernelWidth 7 , gKernelHeight 9,75.21486365437622
gKernelWidth 9 , gKernelHeight 1,74.80537330522019
gKernelWidth 9 , gKernelHeight 3,75.00267781879741
gKernelWidth 9 , gKernelHeight 5,75.06919347746863
gKernelWidth 9 , gKernelHeight 7,75.20838045876052
gKernelWidth 9 , gKernelHeight 9,75.2816251864137
